split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,DJ_SOUTH_AFRICA,rate,90,False,-0.000428,0.15807,454,z_below_crit,False,0.026114,0.655,365,ic_below_min,False,,2.19
train,DJ_SOUTH_AFRICA,ruble,1,False,0.000473,0.366165,454,z_below_crit,False,0.024058,0.37,454,ic_below_min,False,,0.41
train,DJ_SOUTH_AFRICA,ruble,7,False,-0.00051,0.346664,454,z_below_crit,False,0.022254,0.73,448,ic_below_min,False,,0.25
train,DJ_SOUTH_AFRICA,ruble,14,False,0.000107,0.846896,454,z_below_crit,False,0.070634,0.895,441,ic_below_min,False,,0.22
train,DJ_SOUTH_AFRICA,ruble,30,False,-0.00053,0.411249,454,z_below_crit,False,0.03314,0.75,425,ic_below_min,False,,0.3
train,DJ_SOUTH_AFRICA,ruble,60,False,-0.000118,0.624745,454,z_below_crit,False,0.038905,0.235,395,bootstrap_ci_includes_zero,False,,0.36
train,DJ_SOUTH_AFRICA,ruble,90,False,-6.6e-05,0.684139,454,z_below_crit,False,0.013217,0.595,365,ic_below_min,False,,0.57
train,DJ_SOUTH_AFRICA,sanctions,1,False,0.000106,0.777909,454,z_below_crit,False,0.125549,0.995,454,ic_below_min,False,,0.19
train,DJ_SOUTH_AFRICA,sanctions,7,False,0.00027,0.49843,454,z_below_crit,False,0.047629,0.795,448,ic_below_min,False,,0.19
train,DJ_SOUTH_AFRICA,sanctions,14,False,0.001097,0.016709,454,z_below_crit,False,0.038281,0.27,441,bootstrap_ci_includes_zero,False,,0.23
train,DJ_SOUTH_AFRICA,sanctions,30,False,-0.000803,0.132528,454,z_below_crit,False,0.051112,0.815,425,ic_below_min,False,,0.31
train,DJ_SOUTH_AFRICA,sanctions,60,False,3.1e-05,0.866915,454,z_below_crit,False,0.012312,0.59,395,ic_below_min,False,,0.41
train,DJ_SOUTH_AFRICA,sanctions,90,False,1.6e-05,0.837758,454,z_below_crit,False,0.100387,0.97,365,ic_below_min,False,,0.55
train,DJ_SOUTH_AFRICA,inflation,1,False,-0.00023,0.442601,454,z_below_crit,False,0.045735,0.85,454,ic_below_min,False,,0.22
train,DJ_SOUTH_AFRICA,inflation,7,False,-0.000364,0.411286,454,z_below_crit,False,0.025186,0.315,448,ic_below_min,False,,0.2
train,DJ_SOUTH_AFRICA,inflation,14,False,-7.3e-05,0.885816,454,z_below_crit,False,0.049795,0.15,441,bootstrap_ci_includes_zero,False,,0.21
train,DJ_SOUTH_AFRICA,inflation,30,False,-6.7e-05,0.917826,454,z_below_crit,False,0.077213,0.095,425,bootstrap_ci_includes_zero,False,,0.43
train,DJ_SOUTH_AFRICA,inflation,60,False,-0.000311,0.368213,454,z_below_crit,False,0.054289,0.155,395,bootstrap_ci_includes_zero,False,,0.44
train,DJ_SOUTH_AFRICA,inflation,90,False,-0.0002,0.515091,454,z_below_crit,False,0.106838,0.955,365,ic_below_min,False,,0.66
train,DJ_SOUTH_AFRICA,banking,1,False,-5.5e-05,0.877464,454,z_below_crit,False,0.061231,0.12,454,bootstrap_ci_includes_zero,False,,0.25
train,DJ_SOUTH_AFRICA,banking,7,False,4.5e-05,0.918654,454,z_below_crit,False,0.109166,0.98,448,ic_below_min,False,,0.22
train,DJ_SOUTH_AFRICA,banking,14,False,-0.000136,0.773403,454,z_below_crit,False,0.085671,0.055,441,bootstrap_ci_includes_zero,False,,0.22
train,DJ_SOUTH_AFRICA,banking,30,False,0.000358,0.545942,454,z_below_crit,False,0.086725,0.96,425,ic_below_min,False,,0.48
train,DJ_SOUTH_AFRICA,banking,60,False,-6.5e-05,0.757995,454,z_below_crit,False,0.060863,0.12,395,bootstrap_ci_includes_zero,False,,0.58
train,DJ_SOUTH_AFRICA,banking,90,False,-0.000125,0.268578,454,z_below_crit,False,0.015163,0.42,365,ic_below_min,False,,0.88
train,DJ_SOUTH_AFRICA,gold,1,False,2e-05,0.963799,454,z_below_crit,False,0.0482,0.145,454,bootstrap_ci_includes_zero,False,,0.64
train,DJ_SOUTH_AFRICA,gold,7,False,-0.001177,0.015972,454,z_below_crit,False,0.037981,0.76,448,ic_below_min,False,,0.26
train,DJ_SOUTH_AFRICA,gold,14,False,-0.000737,0.179196,454,z_below_crit,False,0.062601,0.865,441,ic_below_min,False,,0.28
train,DJ_SOUTH_AFRICA,gold,30,False,0.000102,0.863195,454,z_below_crit,False,0.069643,0.9,425,ic_below_min,False,,0.25
train,DJ_SOUTH_AFRICA,gold,60,False,8.3e-05,0.670266,454,z_below_crit,False,0.02042,0.33,395,ic_below_min,False,,0.32
train,DJ_SOUTH_AFRICA,gold,90,False,-0.000133,0.234665,454,z_below_crit,False,0.030076,0.32,365,bootstrap_ci_includes_zero,False,,0.75
train,MSCI_WORLD,oil,1,False,5.2e-05,0.901696,454,z_below_crit,False,0.028427,0.7,454,ic_below_min,False,,0.17
train,MSCI_WORLD,oil,7,False,6.3e-05,0.88752,454,z_below_crit,False,0.01105,0.58,448,ic_below_min,False,,0.17
train,MSCI_WORLD,oil,14,False,-0.000151,0.758271,454,z_below_crit,False,0.079041,0.95,441,ic_below_min,False,,0.26
train,MSCI_WORLD,oil,30,False,-0.000334,0.54651,454,z_below_crit,False,0.038784,0.78,425,ic_below_min,False,,0.28
train,MSCI_WORLD,oil,60,False,-2.1e-05,0.892766,454,z_below_crit,False,0.054106,0.205,395,bootstrap_ci_includes_zero,False,,0.33
train,MSCI_WORLD,oil,90,False,-7.4e-05,0.39868,454,z_below_crit,False,0.021141,0.335,365,ic_below_min,False,,0.47
train,MSCI_WORLD,rate,1,False,-5.1e-05,0.829646,454,z_below_crit,False,0.08508,0.055,454,bootstrap_ci_includes_zero,False,,0.24
train,MSCI_WORLD,rate,7,False,-0.000253,0.457895,454,z_below_crit,False,0.043848,0.175,448,bootstrap_ci_includes_zero,False,,0.17
train,MSCI_WORLD,rate,14,False,0.000132,0.753367,454,z_below_crit,False,0.044358,0.76,441,ic_below_min,False,,0.2
train,MSCI_WORLD,rate,30,False,-0.000467,0.423852,454,z_below_crit,False,0.114601,0.99,425,ic_below_min,False,,0.25
train,MSCI_WORLD,rate,60,False,-0.00014,0.681661,454,z_below_crit,False,0.030252,0.675,395,ic_below_min,False,,0.34
train,MSCI_WORLD,rate,90,False,-0.000127,0.619774,454,z_below_crit,False,0.062941,0.89,365,ic_below_min,False,,0.47
train,MSCI_WORLD,ruble,1,False,-0.000125,0.80533,454,z_below_crit,False,0.042983,0.8,454,ic_below_min,False,,0.18
train,MSCI_WORLD,ruble,7,False,0.000329,0.532649,454,z_below_crit,False,0.008331,0.5,448,ic_below_min,False,,0.15
train,MSCI_WORLD,ruble,14,False,0.000799,0.139353,454,z_below_crit,False,0.017563,0.63,441,ic_below_min,False,,0.57
train,MSCI_WORLD,ruble,30,False,-0.000175,0.780568,454,z_below_crit,False,0.0026,0.52,425,ic_below_min,False,,1.11
train,MSCI_WORLD,ruble,60,False,-2e-05,0.933429,454,z_below_crit,False,0.086591,0.055,395,bootstrap_ci_includes_zero,False,,0.68
